2024-10-16 21:46:02
68774054,풍기인삼 6년근 파삼 세척삼 750g,"3,467원/100g",26000,1몰,,인삼
28029812,동원F&B 천지인 백수백복 200g 2개입 세트,1개,67000,2몰,"1,675원/10g","홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 3g/특징: 선물세트/
[진세노사이드 일일섭취량] 3mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 23%(고형분 64% 이상)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
28028816,한국인삼유통공사 고려홍삼정과 프리미엄 1호 700g,1개,90550,3몰,"1,294원/10g","홍삼/형태: 정과/섭취대상: 성인남녀/섭취횟수, 양: 1일 2회/
[원재료/함량] 홍삼 60.5%"
28026038,고려홍삼정골드캅셀 120캡슐,1개,26990,3몰,900원/1일,"홍삼/형태: 캡슐,정/섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 2캡슐/
[진세노사이드 일일섭취량] 3mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 16%/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 피부 보습, 항산화, 혈행개선"
28025219,천년홍삼 발효 홍삼정 헬스데이 15ml 60포,1,205220,3몰,1개,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[원재료/함량] 홍삼추출액 50%(고형분 20%)"
28025483,천년홍삼 발효 홍삼정 헬스데이 15ml 60포,2,600000,1몰,3개,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[원재료/함량] 홍삼추출액 50%(고형분 20%)"
28022678,풍기영농조합 천제명 홍삼농축액 리미티드 시그니처 240g,1개,85000,16몰,"3,542원/10g","홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 3회, 1회 1g/
[진세노사이드 일일섭취량] 21mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 100%(고형분 65%)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
28014323,대한홍삼 발효홍삼 녹용 프리미엄 500ml 4병,1개,70690,4몰,353원/10ml,"홍삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1회 125ml/특징: 녹용함유/
[원재료/함량] 발효홍삼농축액 0.02%(고형분 60% 이상, 홍삼성분 70mg/g)/녹용추출액 70%"
28011500,풍기인삼공사 김정환홍삼 김정환홍삼정과 40g 8개입,1개,109000,5몰,"3,406원/10g","홍삼/형태: 정과/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1개/
[원재료/함량] 원재료: 6년근/홍삼근 60%/배합비율: 홍삼근 100%"
32060171,풍기인삼 6년근 풍기수삼 왕대 750g,,69390,5몰,,
27987383,금산인삼도매센터 홍삼엄마네 인삼 12~15뿌리 1kg,1개,37990,2몰,380원/10g,"인삼/형태: 생삼,뿌리/섭취대상: 성인남녀"
27987296,상아제약 6년근 프리미엄 홍삼정 올데이케어 10g 60포,1개,49900,12몰,832원/10g,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 3.6mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 3%(고형분 60%이상)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
27986240,풍기인삼공사 김정환홍삼 홍삼으로 에너지타임 10ml 30포,1개,32900,1몰,"1,097원/10ml","홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 8.8mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 8.8%(고형분 60% 이상)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
27986090,고려인삼과학 천삼인 6년근 고려홍삼정 헬스올데이 10ml 30포,1개,33000,1몰,"1,100원/10ml","홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 4mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 8%(고형분 60% 이상)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
27985514,참다한 홍키즈 컴파운드 케이K 2단계 35ml 30포,1개,107530,2몰,"1,024원/10ml","홍삼/형태: 추출액/섭취대상: 영유아~어린이/섭취횟수, 양: 1일 1회, 1회 1포/
[원재료/함량] 발효홍삼혼합농축액 3.835%(고형분 60%)/배합비율: 홍삼근 50%, 홍미삼 50%"
27984794,풍기영농조합 천제명 편한 홍삼농축액 마일드 10ml 30포,1개,32720,7몰,"1,091원/10ml","홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 5.1mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 15%(고형분 65%)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
27982874,더존건강 고려 6년근 홍삼정 골드 240g 4개입 세트,1개,19070,46몰,199원/10g,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1회 20g/특징: 선물세트/
[원재료/함량] 원재료: 6년근/홍삼추출액 51.43%(고형분 6%)/배합비율: 홍삼근 70%, 홍미삼 30%"
28958990,풍기인삼 수삼 인삼선물세트 등바구니포장 1.2kg 9-10뿌리 6년근 원수삼,,118660,2몰,,수삼/특징: 선물세트
27916808,대한홍삼 발효홍삼 녹용단 4g 30환,1개,110000,4몰,"9,167원/10g","홍삼/형태: 환/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1환/특징: 녹용함유/
[원재료/함량] 원재료: 6년근/홍삼농축액 1%(고형분 60%, 홍삼성분 70mg/g)/녹용추출액 6%(고형분 2%)"
27914009,스토리하우스 천백삼 백년담은 한뿌리 20ml 30포,1개,415650,1몰,"6,928원/10ml","산삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/
[원재료/함량] 산삼배양근 농축액 7%(고형분 60%)/홍삼농축액 3%(고형분 60%)"
27913097,한국인삼공사 정관장 홍삼정 캡슐 로얄 300캡슐,1개,163900,1몰,546원/1캡슐,"홍삼/형태: 캡슐,정/섭취대상: 성인남녀/섭취횟수, 양: 1일 3회, 1회 2캡슐/
[진세노사이드 일일섭취량] 3.2mg/
[원재료/함량] 원재료: 6년근/홍삼농축액분말 22.4%(고형분 95%)/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
28958792,홈플러스 진진 수삼 1팩,"10,900원/1개",10900,1몰,,수삼
27887927,천호엔케어 핑크퐁 튼튼쑥쑥 녹용홍삼 40ml 30포,1,28680,43몰,1개,"홍삼/형태: 추출액/섭취대상: 영유아~어린이/섭취횟수, 양: 1일 1회, 1회 1포/특징: 녹용함유/
[원재료/함량] 원재료: 6년근/홍삼농축액 0.2%(고형분 60%, 홍삼성분 70mg/g)/녹용추출액 2%/배합비율: 홍삼근 70%, 홍미삼 30%"
27888038,천호엔케어 핑크퐁 튼튼쑥쑥 녹용홍삼 40ml 30포,2개,49900,31몰,208원/10ml,"홍삼/형태: 추출액/섭취대상: 영유아~어린이/섭취횟수, 양: 1일 1회, 1회 1포/특징: 녹용함유/
[원재료/함량] 원재료: 6년근/홍삼농축액 0.2%(고형분 60%, 홍삼성분 70mg/g)/녹용추출액 2%/배합비율: 홍삼근 70%, 홍미삼 30%"
27888254,천호엔케어 핑크퐁 튼튼쑥쑥 녹용홍삼 40ml 30포,3개,76300,17몰,212원/10ml,"홍삼/형태: 추출액/섭취대상: 영유아~어린이/섭취횟수, 양: 1일 1회, 1회 1포/특징: 녹용함유/
[원재료/함량] 원재료: 6년근/홍삼농축액 0.2%(고형분 60%, 홍삼성분 70mg/g)/녹용추출액 2%/배합비율: 홍삼근 70%, 홍미삼 30%"
27888290,천호엔케어 핑크퐁 튼튼쑥쑥 녹용홍삼 40ml 30포,2,89090,38몰,4개,"홍삼/형태: 추출액/섭취대상: 영유아~어린이/섭취횟수, 양: 1일 1회, 1회 1포/특징: 녹용함유/
[원재료/함량] 원재료: 6년근/홍삼농축액 0.2%(고형분 60%, 홍삼성분 70mg/g)/녹용추출액 2%/배합비율: 홍삼근 70%, 홍미삼 30%"
27887393,천호엔케어 영지홍삼 프리미엄 80ml 30포,2,45410,5몰,1개,"홍삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/
[원재료/함량] 원재료: 6년근/홍삼농축액 0.3% (고형분 60%, 홍삼성분 70mg/g)/배합비율: 홍삼근 70%, 홍미삼 30%"
27887438,천호엔케어 영지홍삼 프리미엄 80ml 30포,1,69610,7몰,2개,"홍삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/
[원재료/함량] 원재료: 6년근/홍삼농축액 0.3% (고형분 60%, 홍삼성분 70mg/g)/배합비율: 홍삼근 70%, 홍미삼 30%"
27887465,천호엔케어 영지홍삼 프리미엄 80ml 30포,3개,167400,5몰,233원/10ml,"홍삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/
[원재료/함량] 원재료: 6년근/홍삼농축액 0.3% (고형분 60%, 홍삼성분 70mg/g)/배합비율: 홍삼근 70%, 홍미삼 30%"
27887495,천호엔케어 영지홍삼 프리미엄 80ml 30포,4개,223200,4몰,233원/10ml,"홍삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/
[원재료/함량] 원재료: 6년근/홍삼농축액 0.3% (고형분 60%, 홍삼성분 70mg/g)/배합비율: 홍삼근 70%, 홍미삼 30%"
27785351,한국인삼공사 정관장 홍이장군 홍이랑쑥쑥 30ml 42포,1개,86990,13몰,"2,023원/1일","홍삼/형태: 농축액/섭취대상: 영유아~어린이/섭취횟수, 양: 1일 1회, 1회 1포/
[진세노사이드 일일섭취량] 3.4mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 4%(고형분 60%)/배합비율: 홍삼근 75%, 홍미삼 25%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
27761591,전북인삼농협 6년근 드림 침향홍삼스틱 15ml 30포,1개,43200,1몰,960원/10ml,"홍삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[원재료/함량] 원재료: 6년근/홍삼농축액 0.15%(고형분 60%)/침향추출물 7%(고형분 0.5%)"
29298671,그린뉴트라 홍골드 스틱 10g 100포,1개,26900,1몰,,홍삼/섭취대상: 성인남녀
27731951,참한삼 발효흑삼정 로얄스틱 10g 30포,1,86750,15몰,1개,"흑삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[원재료/함량] 발효흑삼농축액 20%(고형분 30% 이상)"
27731987,참한삼 발효흑삼정 로얄스틱 10g 30포,2,249900,3몰,3개,"흑삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[원재료/함량] 발효흑삼농축액 20%(고형분 30% 이상)"
27694793,동화약품 6년근 홍삼 산삼배양근액 골드 20ml 30병,1개,59900,6몰,998원/10g,"홍삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1병/
[원재료/함량] 원재료: 6년근/홍삼추출액 95.94%(고형분 0.1%, 홍삼성분 0.12mg/g)/배합비율: 홍삼근 70%, 홍미삼 30%"
27694340,종근당건강 면역력 증진엔 어린이 홍삼 20g 30포,2,29170,67몰,1개,"홍삼/형태: 젤리/섭취대상: 영유아~어린이/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 5.4mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 2.5%(고형분 60%)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선/
[기능성분] 아연: 8.5mg/비타민D: 10㎍"
27694373,종근당건강 면역력 증진엔 어린이 홍삼 20g 30포,1,52270,35몰,2개,"홍삼/형태: 젤리/섭취대상: 영유아~어린이/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 5.4mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 2.5%(고형분 60%)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선/
[기능성분] 아연: 8.5mg/비타민D: 10㎍"
27694427,종근당건강 면역력 증진엔 어린이 홍삼 20g 30포,3개,75560,32몰,420원/10g,"홍삼/형태: 젤리/섭취대상: 영유아~어린이/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 5.4mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 2.5%(고형분 60%)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선/
[기능성분] 아연: 8.5mg/비타민D: 10㎍"
27694475,종근당건강 면역력 증진엔 어린이 홍삼 20g 30포,4개,152880,4몰,637원/10g,"홍삼/형태: 젤리/섭취대상: 영유아~어린이/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 5.4mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 2.5%(고형분 60%)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선/
[기능성분] 아연: 8.5mg/비타민D: 10㎍"
27694514,종근당건강 면역력 증진엔 어린이 홍삼 20g 30포,5개,128990,4몰,430원/10g,"홍삼/형태: 젤리/섭취대상: 영유아~어린이/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 5.4mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 2.5%(고형분 60%)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선/
[기능성분] 아연: 8.5mg/비타민D: 10㎍"
27694556,종근당건강 면역력 증진엔 어린이 홍삼 20g 30포,6개,197390,7몰,548원/10g,"홍삼/형태: 젤리/섭취대상: 영유아~어린이/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 5.4mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 2.5%(고형분 60%)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선/
[기능성분] 아연: 8.5mg/비타민D: 10㎍"
27694052,천호엔케어 천심본 홍삼정 240g,1개,142990,4몰,"5,958원/10g","홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 3g/
[진세노사이드 일일섭취량] 22.5mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 100%(고형분 60%)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
27693707,미쁨누리 명품 6년근 고려홍삼 찐스틱 15g 30포,1개,31800,2몰,707원/10g,"홍삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[원재료/함량] 원재료: 6년근/홍삼추출액 35%(고형분 1.7% 이상, 홍삼성분 2mg/g)"
27693752,미쁨누리 명품 6년근 고려홍삼 찐스틱 15g 30포,2,64890,3몰,2개,"홍삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[원재료/함량] 원재료: 6년근/홍삼추출액 35%(고형분 1.7% 이상, 홍삼성분 2mg/g)"
27693770,미쁨누리 명품 6년근 고려홍삼 찐스틱 15g 30포,1,92740,3몰,3개,"홍삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[원재료/함량] 원재료: 6년근/홍삼추출액 35%(고형분 1.7% 이상, 홍삼성분 2mg/g)"
27693806,미쁨누리 명품 6년근 고려홍삼 찐스틱 15g 30포,4개,128320,3몰,713원/10g,"홍삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[원재료/함량] 원재료: 6년근/홍삼추출액 35%(고형분 1.7% 이상, 홍삼성분 2mg/g)"
7172983,연세생활건강 제중원 홍삼진 프리미엄 10g 30포,1,53910,28몰,1개,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 15mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 60%(고형분 60% 이상)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
27693536,연세생활건강 제중원 홍삼진 프리미엄 10g 30포,2개,105000,19몰,"1,750원/10g","홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 15mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 60%(고형분 60% 이상)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
27693569,연세생활건강 제중원 홍삼진 프리미엄 10g 30포,2,155000,20몰,3개,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 15mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 60%(고형분 60% 이상)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
27693290,삼흥 강개상인 홍삼녹용진액 50ml 60포,1개,132530,7몰,442원/10ml,"홍삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 녹용함유/
[원재료/함량] 원재료: 6년근/홍삼추출액 50%(고형분 0.5%)/녹용추출액 23.25%(고형분 0.2%)"
29216438,한국인삼공사 정관장 활기력 에너지캐리어 20ml 20병,1개,57920,3몰,"1,448원/10ml","홍삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1병/섭취기간: 20일분/
[원재료/함량] 원재료: 6년근/홍삼농축액5%,고형분60%이상/국산"
27663539,CJ웰케어 한뿌리 구증구포 흑삼진 녹용스틱 8ml 30포,1개,67881,5몰,"2,828원/10ml","흑삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형, 녹용함유/
[원재료/함량] 구증구포 흑삼농축액 7%(고형분함량 60% 이상)"
27663590,CJ웰케어 한뿌리 구증구포 흑삼진 녹용스틱 8ml 30포,2,98090,8몰,2개,"흑삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형, 녹용함유/
[원재료/함량] 구증구포 흑삼농축액 7%(고형분함량 60% 이상)"
27663608,CJ웰케어 한뿌리 구증구포 흑삼진 녹용스틱 8ml 30포,1,194330,5몰,3개,"흑삼/형태: 추출액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형, 녹용함유/
[원재료/함량] 구증구포 흑삼농축액 7%(고형분함량 60% 이상)"
27660905,농협홍삼 한삼인 6년근 진한홍삼스틱 10ml 100포,1,78920,13몰,1개,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 6mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 9%(고형분 60%)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
27660953,농협홍삼 한삼인 6년근 진한홍삼스틱 10ml 100포,2,410520,1몰,3개,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 6mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 9%(고형분 60%)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
27660788,농협홍삼 한삼인 6년근 진한홍삼스틱 10ml 30포,1개,29700,21몰,990원/10ml,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 6mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 9%(고형분 60%)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
27660566,농협홍삼 한삼인 6년근 진한홍삼고 240g 2개입 세트,1개,67080,2몰,"1,398원/10g","홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 8g/특징: 선물세트/
[진세노사이드 일일섭취량] 6mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 7.9%(고형분 65%)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
27660389,농협홍삼 한삼인 6년근 진한홍삼 플러스 40ml 30포,1개,37790,5몰,315원/10ml,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/
[진세노사이드 일일섭취량] 3.3mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 70%(고형분 64% 이상)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
27659309,대한홍삼진흥공사 명품정 고려 홍삼스틱 진 10g 30포,1,34800,2몰,1개,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 18mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 20%(고형분 60% 이상)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
27659390,대한홍삼진흥공사 명품정 고려 홍삼스틱 진 10g 30포,2,59590,2몰,2개,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 18mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 20%(고형분 60% 이상)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
27659459,대한홍삼진흥공사 명품정 고려 홍삼스틱 진 10g 30포,4개,130990,1몰,"1,092원/10g","홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 18mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 20%(고형분 60% 이상)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
27659504,대한홍삼진흥공사 명품정 고려 홍삼스틱 진 10g 30포,5개,146000,1몰,973원/10g,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 18mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 20%(고형분 60% 이상)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
27659540,대한홍삼진흥공사 명품정 고려 홍삼스틱 진 10g 30포,6개,174800,1몰,971원/10g,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 18mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 20%(고형분 60% 이상)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
27659189,대한홍삼진흥공사 명품정 고려 홍삼스틱 진 10g 10포,1개,16800,1몰,"1,680원/10g","홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드 일일섭취량] 18mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 20%(고형분 60% 이상)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
62213621,광동제약 광옥고 홍삼 본 10ml 30포,1,90000,3몰,1개,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 스틱형/
진세노사이드 1일함량:11mg/원재료: 6년근/건강기능식품/기능성: 기억력 개선, 면역력 증진, 항산화, 혈행개선"
37869005,광동제약 광옥고 홍삼 본 10ml 30포,2,187090,1몰,2개,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 스틱형/
진세노사이드 1일함량:11mg/원재료: 6년근/건강기능식품/기능성: 기억력 개선, 면역력 증진, 항산화, 혈행개선"
27570944,한국인삼공사 정관장 지삼40지 150g,1개,357800,2몰,"23,853원/10g","홍삼/형태: 생삼,뿌리/섭취대상: 성인남녀/
[원재료/함량] 원재료: 6년근/홍삼 100%"
27552392,한국인삼공사 정관장 다보록 기원편 금슬,1개,169970,7몰,"169,970원/1개","홍삼/섭취대상: 성인남녀/특징: 선물세트/
[인증] 건강기능식품/
[구성] 홍천웅 건 70ml x 15포+화애락 본 70ml x 15포"
27552323,한국인삼공사 정관장 다보록 기원편 수복,1개,65140,43몰,,"홍삼/섭취대상: 성인남녀/특징: 선물세트/
[구성] 활기력 20ml x 12병+봉밀절편홍삼 20g x 4개"
27552014,한국인삼공사 정관장 다보록 감사편 존경,1개,441710,4몰,,"홍삼/섭취대상: 성인남녀/특징: 선물세트/
[인증] 건강기능식품/
[구성] 홍삼정 240g+황진단 12g x 4개"
