Name,Spec,Name
CJ ENM 락토페린 쏙 다이어트 시크릿,"[주요성분] 락토페린/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/섭취기간: 20주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] 락토페린: 270mg/비타민B6: 0.45mg/판토텐산: 1.5mg/아연: 3mg"
레인보우앤네이처 레이델 폴리코사놀 더블액션,"[주요성분] 폴리코사놀/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/총량: 224정/섭취기간: 16주/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/기능성: 혈압조절, 혈중 콜레스테롤 개선/
[기능성분] 총 지방족 알코올: 18 mg (폴리코사놀-사탕수수왁스알코올로서 20 mg)"
레인보우앤네이처 레이델 폴리코사놀5,"[주요성분] 폴리코사놀/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 30정/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 혈중 콜레스테롤 개선/
[기능성분] 폴리코사놀-사탕수수왁스알코올: 5mg"
로트벡쉔 이뮨 샷 골드 올인원 비타민 플러스,"[주요성분] 멀티비타민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1병/총량: 10병/섭취기간: 10일/형태: 캡슐,정+음료(액상)/
[인증] 건강기능식품/기능성: 영양보충/
[기능성분] 베타카로틴: 1.4mg/비타민B1: 12mg/비타민B2: 14mg/비타민B6: 15mg/비타민B12: 24㎍/나이아신: 30mg NE/판토텐산: 10mg/비오틴: 100㎍/엽산: 700㎍/비타민C: 300mg/비타민D: 20㎍/비타민E: 11mga-TE/비타민K: 70㎍/아연: 17mg/요오드: 150㎍"
리얼리프 리얼 초유 츄어블,"단백질보충제/종류: 초유/
[섭취정보] 섭취대상: 영유아~어린이/섭취횟수, 양: 1일 1회, 1회 4정/섭취기간: 1개월/형태: 캔디,츄어블"
린츠 본랩 김소형 원방 삼본 침향환 스틱,"건강환·정/침향/형태: 환/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/침향 17%"
링거워터 링티 포커스카페인 젤리,"[주요성분] 테아닌/카페인/
[섭취정보] 섭취대상: 성인남녀/총량: 5포/형태: 젤리"
링티 고소틴,"단백질보충제/종류: 분리대두단백(ISP), 완두단백/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/섭취기간: 1주/형태: 분말/특징: 스틱형/
[영양정보] 표시기준량: 40g/열량: 165kcal/단백질: 25g"
링티 임팩트 유산균 프리미엄 블루베리 요거트맛,"[주요성분] 프로바이오틱스/보장균수(CFU): 10억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 30포/섭취기간: 1개월/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 장 건강/
[기능성분] 아연: 2.55mg 셀렌: 16.5㎍/비타민D: 3㎍"
마이메이트 원데이 솔루션,"[주요성분] 종합비타민/루테인/오메가3/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 30포/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 눈 건강, 영양보충, 혈중 중성지질 개선, 혈행개선/
[기능성분] 비타민A: 210㎍RE/비타민B1: 1.2mg/비타민B2: 1.4mg/비타민B6: 1.5mg/B12: 7.2㎍/비타민C: 100mg/비타민D: 10㎍/비타민E: 3.3mgα-TE/나이아신: 15mgNE/EPA+DHA: 500mg/루테인: 10mg/마그네슘: 94.5mg/비오틴: 900㎍/엽산: 400㎍/판토텐산: 5mg"
매일헬스뉴트리션 셀렉스 코어 프로틴 락토프리,"단백질보충제/종류: 분리유청단백(WPI), 분리대두단백(ISP)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 38g/섭취기간: 96일/형태: 분말/특징: 락토프리/
[인증] 건강기능식품/기능성: 뼈 건강, 영양보충/
[영양·기능정보] 표시기준량: 38g/열량: 139kcal/단백질: 20g/칼슘: 350mg/마그네슘: 175mg/아연: 8.5mg/비타민D: 20㎍/판토텐산: 10mg/비타민B1: 2.4mg/비타민B6: 3mg"
매일헬스뉴트리션 셀렉스 코어 프로틴 프로 식이섬유,"단백질보충제/구아검가수분해물/종류: 농축유청단백(WPC), 가수분해유청단백(WPH), 분리대두단백(ISP), 카제인/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 42g/섭취기간: 1주/형태: 분말/
[인증] 건강기능식품/기능성: 영양보충, 장 건강/
[영양·기능정보] 표시기준량: 42g/열량: 165kcal/단백질: 20g/식이섬유: 4.6g"
매포흑염소 흑염소 진액,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 2~3회, 1회 1포/흑염소추출액 95%(고형분 12.8%)/특징: 선물세트"
메이준생활건강 메이준뉴트리 박경호의 공류보감 생식,"생식/형태: 분말/섭취횟수, 양: 1일 1회, 1회 1포"
메이준생활건강 메이준뉴트리 박경호의 녹용활력 명작,"건강즙/녹용즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포"
메이준생활건강 메이준뉴트리 박경호의 진심 흑염소진액,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/흑염소 1.5%/특징: 선물세트"
메이준생활건강 메이준뉴트리 유러피언 산양유 콜라겐 프로틴,"체중조절용 조제식품/종류: 산양유, 농축유청단백(WPC), 분리유청단백(WPI), 분리대두단백(ISP)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2스푼/섭취기간: 3주/형태: 분말/특징: 피쉬콜라겐함유/
[영양정보] 표시기준량: 36g/열량: 135kcal/단백질: 27g"
바디마인 산양유 단백질 100,"단백질보충제/종류: 산양유/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 20g/형태: 분말/
[영양정보] 표시기준량: 20g/열량: 70kcal/단백질: 13g"
바이오360 여에스더 리포좀 글루타치온 다이렉트 울트라X,"글루타치온/섭취대상: 성인여성, 성인남성/섭취횟수, 양: 1일 1회, 1포/형태: 구강용해필름/기능성: 피부 건강"
바이오로제트 제주산 당찬여주 분말,"형태: 분말형/섭취횟수, 양: 1일 1~2회, 1스푼/섭취대상: 성인남녀/기능성: 영양보충"
바이오코프 골드 카무트 효소,"[주요성분] 효소/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 360포/섭취기간: 12개월/형태: 분말/특징: 스틱형"
베리솔 더 콜라겐 구미 21구미,"[주요성분] 콜라겐/피쉬 콜라겐/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 3구미/총량: 21구미 x 24봉/섭취기간: 168일/형태: 젤리"
보트레 리포좀 글루타치온,"글루타치온/섭취대상: 여성, 남성, 시니어/섭취횟수, 양: 1일 2정/형태: 캡슐,정/기능성: 면역력, 항산화/글루타치온700mg"
본네 로즈힙 쓰리셀,"건강즙/로즈힙퓨레/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형"
블루미너스 왕의 맥문동,"건강분말/맥문동/형태: 분말/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/볶음 맥문동 분말 100%/특징: 스틱형"
비앤유 온더고 애플사이다,"[주요성분] 프로폴리스/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 7포/섭취기간: 1주/형태: 음료(액상)/특징: 스틱형/
[인증]"
비어랩 맥주효모 프리미엄 환,"[주요성분] 맥주효모/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/형태: 환/특징: 스틱형"
비어랩 맥주효모 프리미엄 환+샴푸,"[주요성분] 맥주효모/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 240포/섭취기간: 8개월/형태: 환/특징: 스틱형"
비엘 관절부심 천심련,"[주요성분] 천심련추출물/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 280정/섭취기간: 40주/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/GMP/기능성: 관절 건강/
[기능성분] 안드로그라폴라이드: 159mg/비타민D: 10㎍"
비엘팜텍 nfp 모로실 다이어트 버닝 컷,"[주요성분] 모로오렌지(모로실C3G)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/섭취기간: 4주/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 체지방감소/
[기능성분] Cyanidin-3-O-glucoside: 2.2mg/비타민C: 100mg/나이아신: 15mgNE/셀렌: 55㎍/판토텐산: 5mg/비타민B6: 1.5mg/비타민B1: 1.2mg/비타민B2: 1.4mg"
비엘헬스케어 면역88골드,"[주요성분] 폴리감마글루탐산/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 1포/총량: 56포/섭취기간: 4주/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/기능성: 면역력 증진/
[기능성분] 폴리감마글루탐산칼륨: 1,000mg"
비엘헬스케어 푸드올로지 콜레올로지 컷,"형태: 캡슐,정/기능성: 혈중 콜레스테롤 개선"
비엘헬스케어 푸드올로지 콜레올로지 컷 라이트,"섭취횟수, 양: 1일 1회, 2정/형태: 캡슐,정/건강기능식품/기능성: 체지방감소"
비오팜 푸드올로지 콜레올로지 티 하비탈출,"섭취대상: 성인여성, 성인남성/섭취횟수, 양: 1일 1회, 1포/형태: 분말형/특징: 스틱형/건강기능식품/GMP/기능성: 기억력 개선, 장 건강, 체지방감소, 혈행개선/석류맛/포스콜린50mg,플라보놀배당체36mg,프락토올리고당3000mg"
비전침향원환100환,"건강환·정/침향/형태: 환/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1환/침향분말 22%"
비타민하우스 낙산균 프로바이오틱스 솔루션4,"[주요성분] 프로바이오틱스/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 360포/섭취기간: 12개월/형태: 분말/특징: 스틱형/
[인증] GMP"
빨간스캔들 RED 유기농 석류 플러스,건강즙/석류즙/HACCP/유기가공식품
산청군양잠농업협동조합 당당한 누에,"건강환·정/누에/형태: 환/섭취횟수, 양: 1일 1회,1회 1포/동결건조누에분말25%/특징: 스틱형, 선물세트"
삼육식품 삼육케어 균형영양식,"균형영양식/형태: 음료(액상)/
[영양정보] 1회 제공량 200ml당 열량: 200kcal"
삼육식품 삼육케어 당뇨식,"당뇨환자용 영양식/형태: 음료(액상)/
[영양정보] 1회 제공량 200ml당 열량: 200kcal"
서울우유 초유 탄탄 프로틴 플러스,"단백질보충제/종류: 초유, 농축유청단백(WPC), 분리유청단백(WPI), 가수분해유청단백(WPH), 분리대두단백(ISP), 완두단백, 분리우유단백(MPI)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 3스푼/섭취기간: 2개월/형태: 분말/
[영양정보] 표시기준량: 40g/열량: 153kcal/단백질: 25g"
셀게이트 더 화이트 글루타치온 40,"[주요성분] 글루타치온/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 300포/섭취기간: 10개월/형태: 분말/특징: 스틱형"
셀게이트 바나바 당케어,"[주요성분] 코로솔산(바나바잎)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 360정/섭취기간: 12개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 혈당조절/
[기능성분] 코로솔산: 1.3mg/크롬: 30㎍"
씨스팡 관절팔팔,"[주요성분] 초록입홍합/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 2캡슐/총량: 120캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 관절 건강/
[기능성분] DHA+EPA+DPA+ALA: 25mg/비타민E: 6.8mgα-TE"
안국건강 안국 저분자 콜라겐 비피더스,"[주요성분] 콜라겐/분자량: 300Da(달톤)/피쉬 콜라겐/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 60포/섭취기간: 2개월/형태: 분말/특징: 스틱형"
안국건강 안심캡슐 아이원 루테인 지아잔틴 더 포뮬라,"[주요성분] 루테인/지아잔틴/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 300캡슐/섭취기간: 10개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 눈 건강/
[기능성분] 루테인: 10.10452mg/총 지아잔틴: 1.89547mg/베타카로틴: 0.42mg/비타민B1: 0.36mg/비타민B2: 0.42mg/비타민E: 3.3mgα-TE/비타민C: 30mg/망간: 0.9mg/구리: 0.24mg/셀렌: 16.5㎍"
어댑트 푸드올로지 콜레올로지,"[주요성분] 콜레우스포스콜리/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/섭취기간: 15일/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 체지방감소/
[기능성분] 포스콜린: 50mg"
어댑트 푸드올로지 콜레올로지 컷,"[주요성분] 녹차추출물(카테킨)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 체지방감소, 항산화, 혈중 콜레스테롤 개선/
[기능성분] 카테킨: 300mg/로사빈: 6.6mg/셀렌: 55㎍/판토텐산: 5mg/비타민B6: 1.5mg/비타민B1: 1.2mg/비타민B2: 1.4mg"
어댑트 푸드올로지 콜레올로지 컷 라이트,"[주요성분] 녹차추출물(카테킨)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 체지방감소, 항산화, 혈중 콜레스테롤 개선/
[기능성분] 카테킨: 300mg/셀렌: 55㎍/판토텐산: 5mg/비타민B6: 1.5mg/비타민B1: 1.2mg/비타민B2: 1.4mg"
어댑트 푸드올로지 콜레올로지 컷팅 젤리,"[주요성분] 가르시니아(HCA)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/섭취기간: 10일/형태: 젤리/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 장 건강, 체지방감소, 혈당조절/
[기능성분] HCA: 750mg, 식이섬유: 4,200mg"
어댑트 푸드올로지 콜레올로지 티,"[주요성분] 징코(은행잎)/프리바이오틱스/콜레우스포스콜리/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/섭취기간: 15일/형태: 분말/
[인증] 건강기능식품/기능성: 기억력 개선, 배변활동 원활, 장 건강, 체지방감소, 혈행개선/
[기능성분] 포스콜린: 50mg/플라보놀배당체: 36mg/프락토올리고당: 30mg"
에스더포뮬러 닥터에스더 관절엔 천심련,"[주요성분] 천심련추출물/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 280정/섭취기간: 40주/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/GMP/기능성: 관절 건강/
[기능성분] 안드로그라폴라이드: 159mg/비타민D: 10㎍"
에스더포뮬러 닥터에스더 식물성 알티지 오메가,"[주요성분] 오메가3/rTG형(3세대)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2캡슐/총량: 60캡슐/섭취기간: 1개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/기능성: 눈 건강, 혈중 중성지질 개선, 혈행개선/
[기능성분] EPA+DHA: 600mg/비타민D: 50㎍/비타민E: 3.3mgα-TE"
에스더포뮬러 여에스더 글루타치온 다이렉트 5X,"[주요성분] 글루타치온/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 360포/섭취기간: 12개월/형태: 구강용해필름"
에스더포뮬러 여에스더 엘라스틴 디엔에이 7X,"[주요성분] 콜라겐/피쉬 콜라겐/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 140포/섭취기간: 20주/형태: 젤리/특징: 스틱형"
에스더포뮬러 여에스더 유산균 골드,"프로바이오틱스/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 2개월분/형태: 캡슐,정/건강기능식품/기능성: 장건강/프로바이오틱스 수 100억 CFU"
에스더포뮬러 여에스더 프로테오글리칸 2X 울트라 다이렉트,"[주요성분] 연어코연골추출분말/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1매/총량: 140매/섭취기간: 20주/형태: 구강용해필름"
에이스바이옴 BNR17 갱년기 여성의 건강관리 비에날 퀸,"[주요성분] 소포리코사이드(회화나무열매)/프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2캡슐/총량: 60캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 갱년기 개선, 배변활동 원활, 장 건강, 체지방감소/
[기능성분] 소포리코사이드: 35mg/셀레늄: 16.5㎍/아연: 2.55mg/비타민A: 210㎍RE/비타민D: 10㎍"
에이스바이옴 BNR17 다이어트 유산균 비에날씬,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2캡슐/총량: 660캡슐/섭취기간: 11개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소"
에이스바이옴 BNR17 다이어트 유산균 비에날씬 프로,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 360캡슐/섭취기간: 12개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소"
에이스바이옴 BNR17 다이어트 유산균 비에날씬 프로틴,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 5포/섭취기간: 5일/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소/
[기능성분] 칼슘: 210mg/비타민D: 10㎍/조단백질: 20g"
에이스바이옴 BNR17 다이어트 유산균 비에날씬 플러스,"[주요성분] 프로바이오틱스/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 30포/섭취기간: 1개월/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소/
[기능성분] 아연: 2.55mg/비타민D: 10㎍"
에이스바이옴 관절엔 아나파랙틴,"[주요성분] N-아세틸글루코사민/천심련추출물/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/총량: 60정/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 관절 건강, 관절, 연골 건강/
[기능성분] 안드로그라폴라이드: 159mg/N-아세틸글루코사민: 500mg/비타민D: 10㎍"
에이치엘사이언스 관절연골엔 우슬조인트100 프리미엄,"[주요성분] 우슬등복합물/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/총량: 360정/섭취기간: 6개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/기능성: 관절, 연골 건강/
[기능성분] Ellagic acid: 0.56mg/Pinoresinol diglucoside : 0.67mg/Ecdysterone: 0.031mg/비타민D : 50㎍/비타민K : 80㎍/아연 : 8.5mg/망간 3mg"
에이치엘사이언스 모로실 다이어트 핏,"[주요성분] 모로오렌지(모로실C3G)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/섭취기간: 4주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] Cyanidin-3-O-glucoside: 1.76mg"
에이치엘사이언스 유기농 새싹보리 착즙분말 원데이,"건강분말/새싹보리/형태: 분말/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형"
에이투젠 혈당엔 유산균 HAC01,"[주요성분] 프로바이오틱스/보장균수(CFU): 40억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 30캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 혈당조절"
에이투젠 혈당엔 유산균 HAC세트,"[주요성분] 프로바이오틱스/보장균수(CFU): 40억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 90캡슐/섭취기간: 3개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 혈당조절"
에치와이엠프로 프로바이오틱스 윌 플러스,"[주요성분] 감초추출물/프로바이오틱스/보장균수(CFU): 5억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 1포/총량: 60포/섭취기간: 1개월/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/기능성: 배변활동 원활, 위 건강, 장 건강/
[기능성분] 글라브리딘: 5.4mg"
연세생활건강 연세 루테인 플러스,"[주요성분] 루테인/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 120캡슐/섭취기간: 4개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 눈 건강/
[기능성분] 루테인: 20mg/비타민A: 210㎍RE/비타민D: 3㎍/비타민E: 3.3mgα-TE/비타민B1: 0.36mg/비타민B2: 0.42mg/비타민B6: 0.45mg/비타민C: 30mg/아연: 2.55mg"
옻가네 김오곤 원장 흑염소 진액,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포"
우리바이오 하루틴 리포좀 글루타치온C 스틱,"글루타치온/섭취대상: 성인여성, 성인남성/섭취횟수, 양: 1일 1회,1포/형태: 분말/특징: 스틱형/HACCP/기능성: 피부 건강"
우리이앤엘 하루틴 리포좀 비타민C,"[주요성분] 비타민C/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 360정/섭취기간: 12개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 영양보충, 항산화/
[기능성분] 비타민C: 500mg"
우리이앤엘 하루틴 리포좀 비타민C입 세트,"[주요성분] 비타민C/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 180정/섭취기간: 6개월/형태: 캡슐,정/특징: 선물세트/
[인증] 건강기능식품/기능성: 영양보충, 항산화/
[기능성분] 비타민C: 500mg"
웰츄럴 빨간스캔들 레드 플러스 석류콜라겐,건강즙/석류즙/형태: 젤리/섭취대상: 성인여성/석류농축액 92.6%
위더스 무안황토 자색양파즙,"건강즙/양파즙/섭취횟수, 양: 1일 1~3포/자색양파 98%/특징: 선물세트"
위바이옴 바이오비옴 고업 액상 글루타치온 1000,"[주요성분] 글루타치온/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1병/총량: 140병/섭취기간: 20주/형태: 음료(액상)"
위바이옴 바이오비옴 두뇌엔 닥터PS 70,"[주요성분] 포스파티딜세린/
[섭취정보] 섭취대상: 시니어/섭취횟수, 양: 1일 1회, 1회 1포/총량: 300포/섭취기간: 10개월/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 인지능력 향상, 피부 건강, 피부 보습/
[기능성분] 포스파티딜세린: 300mg"
유니베라 아임뮨 알로에겔,"[주요성분] 알로에겔/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 14포/섭취기간: 2주/형태: 젤리/특징: 스틱형/
[인증] 건강기능식품/기능성: 면역력 증진, 장 건강, 피부 건강/
[기능성분] 총 다당체: 100mg"
유유네이처 포모라인 엑스트라 L112,"[주요성분] 키토산/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 3회, 1회 2정/섭취기간: 15일/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소, 혈중 콜레스테롤 개선/
[기능성분] 키토산: 3g/비타민C : 300mg"
유한양행 엘레나 UREX 프로바이오틱스,"[주요성분] 프로바이오틱스/보장균수(CFU): 10억/
[섭취정보] 섭취대상: 성인여성/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 30캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 질 건강"
유한양행 엘레나 UREX 프로바이오틱스입 세트,"[주요성분] 프로바이오틱스/보장균수(CFU): 10억/
[섭취정보] 섭취대상: 성인여성/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 90캡슐/섭취기간: 3개월/형태: 캡슐,정/특징: 선물세트/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 질 건강"
유한양행 엘레나 퀸 UREX 프로바이오틱스,"[주요성분] 프로바이오틱스/보장균수(CFU): 10억/
[섭취정보] 섭취대상: 성인여성/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 30캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 질 건강"
유한양행 와이즈바이옴 당큐락,"[주요성분] 프로바이오틱스/보장균수(CFU): 40억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 30캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 혈당조절"
유한양행 와이즈헬스 유한 밸런스 혈당과 혈행,"[주요성분] 징코(은행잎)/미숙여주주정추출분말/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 3회, 1회 1포/총량: 90포/섭취기간: 1개월/형태: 환/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 혈당조절, 혈행개선/
[기능성분] y-aminobutyric acid: 2,592mg/폴라보놀배당체: 28mg"
윤오헬시 참진한 프리미엄 흑염소 진액,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/흑염소추출액 92%(고형분 3%) /특징: 선물세트"
윤홍일 원장의 와우흑고 흑염소 진액,건강즙/흑염소즙/섭취대상: 성인남녀
이롬 황성주 박사의 1일 1생식 뉴밀 플러스 스페셜,"생식/형태: 분말/섭취횟수, 양: 1일 1~3회, 1회 1포"
이롬 황성주 박사의 1일 1생식 뉴밀+,"생식/형태: 분말/섭취횟수, 양: 1일 1~3회, 1회 1포"
이롬 황성주 박사의 마시는 뉴밀,"균형영양식/형태: 음료(액상)/
[영양정보] 1회제공량 140ml당 열량: 140kcal/탄수화물: 20g/당류: 5g/단백질: 5.5g/지방: 4.3g/포화지방: 0.6g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 180mg"
