Name,Spec,Name
ACEITES DELSUR 에스파뇰라 포도씨유선물세트,오일/식용유/가공식품 선물세트/포도씨유/오일 세트
그이름 정준호 양심기름 흑임자 참기름 국내산,"가공식품 선물세트/오일 세트/
[구성] 흑임자참기름 300ml+흑임자깻묵"
깨사랑 깨사랑 국산 냉압착 생들기름 선물세트 1호,오일 세트
농심 튤립 스페셜 5호,"가공식품 선물세트/혼합세트/
[구성] 튤립햄 200g x 6개+빌라블랑카 해바라기유 500ml x 2개"
다담다 저온압착 참기름 들기름선물세트,"가공식품 선물세트/오일 세트/
[구성] 저온압착 참기름 200ml+저온압착 들기름 200ml"
다담다 저온압착 참기름 프리미엄 생들기름선물세트,"가공식품 선물세트/오일 세트/
[구성] 저온압착 참기름 300ml+프리미엄 생들기름 300ml"
다담다 프리미엄 생들기름선물세트,"가공식품 선물세트/오일 세트/
[구성] 프리미엄 생들기름 300ml"
대상 청정원 10호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+우리팜델리 115g x 4개+순살참치 135g x 3개"
대상 청정원 10호[],가공식품 선물세트/혼합세트
대상 청정원 11호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+정통 사과식초 470ml+소갈비양념 280g+우리팜 델리 190g x 2개+햇살담은 두번달여 더 진한 진간장 골드 200ml x 2개+천일염 가는소금"
대상 청정원 12호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+사과식초 560ml+요리올리고당 700g+우리팜 델리 115g x 4개"
대상 청정원 13호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+참치액 560g x 1개+올리고당 700g x 1개+우리팜델리 115g x 2개"
대상 청정원 15호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+요리 올리고당 700g+우리팜 델리 115g x 2개+잇츠팜 115g x 2개"
대상 청정원 16호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+정통사과식초 470ml+요리올리고당 700g+잇츠팜 115g x 2개"
대상 청정원 17호,가공식품 선물세트/혼합세트
대상 청정원 1호,"가공식품 선물세트/혼합세트/
[구성] 올리브유 500ml+카놀라유 500ml+참기름 350ml+우리팜 델리 115g x 4개+우리팜 델리 190g x 6개+쉐프의허브 3색스타일링 35g+멸치국물내기티백 40g+천일염 가는소금 190g+요리올리고당 700g+홍초 석류 500ml"
대상 청정원 2018 13호,가공식품 선물세트/혼합세트
대상 청정원 2020 5호,가공식품 선물세트/혼합세트
대상 청정원 2020 6호,가공식품 선물세트/혼합세트
대상 청정원 2021 나눔 5호,가공식품 선물세트/혼합세트
대상 청정원 2022 15호,가공식품 선물세트/혼합세트
대상 청정원 2022년 13호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+홍초석류 500ml+요리올리고당 700g+우리팜델리 115g x 2개"
대상 청정원 2022년 S49호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml+양조간장 200ml x 2개+올리고당 700g x 1개+잇츠팜 115g x 2개+우리팜델리 115g x 2개"
대상 청정원 2022년 스페셜 3호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+요리올리고당 700g+발효식초 470ml+우리팜 델리 115g x 2개+명가 소갈비양념 280g x 2개+순살참치 135g x 3개"
대상 청정원 2023 12호,가공식품 선물세트/혼합세트
대상 청정원 2023 2호,가공식품 선물세트/혼합세트
대상 청정원 2023 3호,가공식품 선물세트/혼합세트
대상 청정원 2023 5호,가공식품 선물세트/혼합세트
대상 청정원 2023 6호,가공식품 선물세트/혼합세트
대상 청정원 2023 팜고급유 S호,오일 세트
대상 청정원 2023년 10호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+요리올리고당 700g+정통현미식초 560ml+양조간장 200ml+우리팜델리 115g x 4개"
대상 청정원 2024 스페셜 6호,가공식품 선물세트/혼합세트
대상 청정원 2024 행복 10호,가공식품 선물세트/혼합세트
대상 청정원 2024 행복 고급 2호,가공식품 선물세트/혼합세트
대상 청정원 2호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+정통 사과식초 470ml x 2개+참기름 160ml+요리올리고당 700g+천일염 가는소금 190g+소갈비 양념 280g x 2개+순살참치 135g x 6개+우리팜 델리 115g x 2개"
대상 청정원 3호,가공식품 선물세트/혼합세트
대상 청정원 4호,가공식품 선물세트/혼합세트
대상 청정원 5년숙성 간장세트,"양념/장/양념장 세트/
[구성] 5년 숙성간장 양조간장 310ml x 2개"
대상 청정원 6호,가공식품 선물세트/혼합세트
대상 청정원 7호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+정통사과식초 470ml x 1개+올리고당700g x 1개+양조간장골드 500ml x 1개+순살참치 135g x 2개+우리팜델리 190g x 4개"
대상 청정원 D호,가공식품 선물세트/혼합세트
대상 청정원 L행복2호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+런천미트 115g x 4개+우리팜 델리 115g x 4개+정통 현미식초 560ml+요리올리고당 700g"
대상 청정원 L행복3호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+런천미트 115g x 7개+런천미트 190g x 2개+우리팜델리 190g x 4개+홍초 석류 500ml+요리올리고당 700g"
대상 청정원 NH 3호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+요리올리고당 700g+정통현미식초 470ml+잇츠팜 115g x 6개"
대상 청정원 S20호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml+런천미트 115G x 4개"
대상 청정원 S45호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 1개+잇츠팜 115g x 7개+순살참치 135g x 3개+천일염가는소금 190g x 1개+요리올리고당 700g x 1개"
대상 청정원 S47호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 1개+잇츠팜 115g x 6개+요리올리고당 700g x 1개+진간장골드 200ml x 1개+양조간장 200ml x 1개"
대상 청정원 V2호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 1개+올리고당 700g x 1개+우리팜델리 115g x 1개+잇츠팜 115g x 1개+진간장골드 500ml x 1개+맛술 410ml x 1개"
대상 청정원 고급유 1호,"가공식품 선물세트/오일 세트/
[구성] 외국산/올리브유 900ml+포도씨유 900ml+카놀라유 900ml"
대상 청정원 고급유 2호,"가공식품 선물세트/오일 세트/
[구성] 카놀라유 900ml x 2개+올리브유 500ml+포도씨유 500ml"
대상 청정원 고급유 3호,"가공식품 선물세트/오일 세트/
[구성] 올리브유 500ml+포도씨유 500ml+카놀라유 500ml x 2개"
대상 청정원 고급유 5호,"가공식품 선물세트/오일 세트/
[구성] 카놀라유 500ml x 3개+요리유 500ml"
대상 청정원 고급유 6호,"가공식품 선물세트/오일 세트/
[구성] 카놀라유 500ml x 2개+요리유 500ml"
대상 청정원 나눔 2호,가공식품 선물세트/혼합세트
대상 청정원 나눔 4호,가공식품 선물세트/혼합세트
대상 청정원 나눔 5호[],가공식품 선물세트/혼합세트
대상 청정원 나눔 8호,가공식품 선물세트/혼합세트
대상 청정원 나눔 특선 1호,가공식품 선물세트/혼합세트
대상 청정원 드림 5호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml+양조 진간장 500ml+사과식초 500ml+맛술 410ml+요리올리고당 700g"
대상 청정원 순창 고추장 찹쌀 발아현미,"양념/장/양념장 세트/쌀(국내산), 고춧가루(국내산), 호화현미가루(국내산)"
대상 청정원 순창 조개멸치된장+고깃집된장+미소된장,양념/장/양념장 세트
대상 청정원 스페셜 10호,가공식품 선물세트/오일 세트/카놀라유 500ml x 2개+사과현미식초 560ml+요리올리고당 700g+양조진간장 200ml+돼지고기장조림 95g
대상 청정원 스페셜 12호,양념/장/양념장 세트/카놀라유 500ml+양조간장 500ml+요리올리고당 700g
대상 청정원 스페셜 1호,가공식품 선물세트/혼합세트
대상 청정원 스페셜 2호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+요리올리고당 700g+정통사과식초 470ml+첨일염 가는소금 190g+소갈비양념 280g x 2개+참기름 160ml+순살참치 135g x 2개+우리팜델리 190g"
대상 청정원 스페셜 4호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+요리올리고당 700g+정통현미식초 470ml+건강생각 참기름 350ml+진간장 골드 200ml+천일염 구운소금 200g+돼지고기 장조림 95g x 2개+순살참치 135g"
대상 청정원 스페셜 5호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml+요리올리고당 700g+사과식초 470ml+진간장 골드 200ml+천일염 구운소금 200g+명가 소갈비양념 280g x 2개+우리팜 델리 115g x 2개+돼지고기 장조림 95g x 2개"
대상 청정원 스페셜 6호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+정통 사과식초 560ml+요리올리고당 700g+고소한 건강생각 참기름 160ml+천일염 가는소금 190g+소갈비 양념 280g+돼지고기장조림 95g x 2개"
대상 청정원 스페셜 7호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+생강매실 맛술 410ml+요리올리고당 700g+사과식초 470ml+진간장 골드 200ml+천일염 구운소금 190g++돼지고기 장조림 95g x 2개"
대상 청정원 스페셜 8호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+요리올리고당 700g+양조간장 500ml+소갈비양념 280g x 2개+우리팜델리 115g x 2개"
대상 청정원 스페셜 9호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+햇살담은 양조진간장 200ml x 2개+요리올리고당 700g+돼지고기장조림 95g x 2개"
대상 청정원 스페셜 H호,"가공식품 선물세트/혼합세트/
[구성] 우리팜 델리 115g x 2개+카놀라유 500ml+요리올리고당 700g+햇살담은 양조간장 500ml+사과식초 500ml+전통 소갈비양념 280g"
대상 청정원 스페셜 NH 2호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+요리올리고당 700g+사과식초 500ml+양조간장 500ml+더 진한 진간장 골드 500ml+생강매실 맛술 410ml+우리팜델리 190g+참기름 160ml+천일염 가는 소금 190g"
대상 청정원 스페셜 NH2호,가공식품 선물세트/혼합세트
대상 청정원 스페셜 S호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml+발효식초 500ml+잇츠팜 x 2개+양조간장 500ml+올리고당 700g"
대상 청정원 시그니처 파스타 세트,가공식품 선물세트/혼합세트
대상 청정원 알찬행복세트 1호,"양념/장/양념장 세트/
[구성] 요리올리고당 700g+카놀라유 500ml+사과식초 500ml+진간장 500ml+생강매실맛술 410ml+재래식 생된장 500g+민속자른당면 300+우리밀 부침가루 450g+우리밀 튀김가루 450g"
대상 청정원 오일스프레이 세트,"가공식품 선물세트/오일 세트/스프레이형/
[구성] 트러플향오일세트 250ml+올리브유오일스프레이 250ml+포도씨유오일스프레이 250ml"
대상 청정원 올리브유 2호,"가공식품 선물세트/오일 세트/
[구성] 올리브유 500ml x 3개"
대상 청정원 올리유 1호,"가공식품 선물세트/오일 세트/
[구성] 카놀라유 500ml x 2개+요리올리고당 700g x 2개+씨간장 양조간장 골드 500ml"
대상 청정원 올리유 종합 1호,가공식품 선물세트/혼합세트
대상 청정원 올리유 종합 2호,가공식품 선물세트/혼합세트
대상 청정원 정성 11호,"양념/장/양념장 세트/
[구성] 카놀라유 500ml+맛술 월계수잎 410ml+진간장골드 500ml+사과식초 500ml+요리올리고당 700g"
대상 청정원 정성가득 5호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 1개+정통현미식초 470ml x 1개+천일염 가는소금 190g x 1개+잇츠팜 115g x 2개+햇살담은 양조간장 200ml x 2개+ 생강마실맛술 410ml x 1개+전통 소갈비양념 290g x 1개"
대상 청정원 정성가득 6호,"가공식품 선물세트/혼합세트/
[구성] 요리유 500ml x 1개+양조간장 500ml x 1개+요리올리고당 700g x 1개+맛술 410ml x 1개+고추장맛돼지고기장조림 95g x 1개+돼지고기장조림 95g x 2개"
대상 청정원 정성가득 7호,"가공식품 선물세트/혼합세트/
[구성] 요리유 500ml x 1개+양조간장 200ml x 2개+사과식초 500ml x 1개+맛술 410ml x 1개+잇츠팜 115g x 1개+순살참치 135g x1개"
대상 청정원 종합 16호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+사과식초 500ml+양조간장 200ml+천일염 가는소금 190g+생강 매실맛술 410ml+요리 순후추 30g+요리올리고당 700g+잇츠팜 115g x 7개"
대상 청정원 종합 17호,가공식품 선물세트/혼합세트
대상 청정원 종합 5호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+올리고당 700g x 1개+진간장골드 200ml x 1개+고추장돼지고기장조림 95g x 1개+돼지고기장조림 95g x 1개+잇츠팜 115g x 4개+씨간장양조간장 200ml x 1개+정통사과식초 470ml x 1개"
대상 청정원 카놀라유 2호,오일/식용유/가공식품 선물세트/오일 세트
대상 청정원 카놀라유 실속,오일/식용유/오일 세트
대상 청정원 팜고급유 1호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 3개+우리팜 델리 190g x 4개+우리팜 델리 330g x 2개"
대상 청정원 팜고급유 2호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+우리팜델리 190g x 6개+요리올리고당 700g"
대상 청정원 팜고급유 3호,오일 세트
대상 청정원 팜고급유 5호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 3개+우리팜델리 115g x 4개"
대상 청정원 팜고급유 6호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+우리팜 델리 115g x 4개"
대상 청정원 팜고급유 D호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+요리 올리고당 700g+정통현미식초 470ml+우리팜 델리 115g x 4개+잇츠팜 115g x 2개"
대상 청정원 팜고급유 S호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml+사과식초 470ml+올리고당 700g+잇츠팜 115g x 4개"
대상 청정원 팜고급유 특선호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+잇츠팜 115g x 4개+요리올리고당 700g x 2개"
대상 청정원 포도씨유 3호,"가공식품 선물세트/오일 세트/
[구성] 포도씨유 500ml x 3개"
대상 청정원 프리미엄 오일 에디션 R호,오일/식용유/오일 세트
대상 청정원 프리미엄 장류혼합세트,"양념/장/양념장 세트/
[구성] 문옥례고추장 450g+문옥례쌈장 450g+문옥례된장 450g x 2개+느티울간장 420ml"
대상 청정원 행복 11호,가공식품 선물세트/혼합세트
대상 청정원 행복 12호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500m+요리올리고당 700g+굴소스 260g+진간장 200ml+가는소금 190g+참치액 210ml+우리팜 델리 190g x 2개+매실청 650g+사과식초 470ml"
대상 청정원 행복 1호,"가공식품 선물세트/혼합세트/
[구성] 소갈비양념 280g x 1개+카놀라유 500ml x 2개+요리고당 700g x 1개+진간장골드 500ml x 1개+맛선생참치액 560g x 1개+우리팜델리 115g x 1개"
대상 청정원 행복 2호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+조선간장 500ml+사과식초 500ml+더 진한 진간장 골드 500ml+요리올리고당 700g+천일염 가는소금 190g+고추장맛 돼지고기 장조림 95g"
대상 청정원 행복 3호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+사과식초 500ml+더 진한 진간장 골드 500ml+잇츠팜 115g x 2개+전통 소갈비양념 500g+요리올리고당 700g"
대상 청정원 행복 4호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml+양조간장 500ml+사과식초 470ml+요리올리고당 700g+굴소스 260g+맛선생 참치액 210ml+돼지고기 장조림 95g x 2개"
대상 청정원 행복 5호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml+요리올리고당 700g+프리미엄굴소스 260g+참치액 210ml+양조진간장 200ml+천일염가는소금 190g+우리팜델리 190g x 2개"
대상 청정원 행복 6호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 1개+소갈비양념 280g x 1개+사과식초 500ml x 1개+진간장골드 200ml x 1개+올리고당 700g x 1개+우리팜델리 115g x 1개+돼지고기장조림 95g x 1개"
대상 청정원 행복 7호,"가공식품 선물세트/혼합세트/
[구성] 올리고당 700g x 1개+진간장골드 500ml x 1개+천일염가는소금 190g x 1개+참치액 210ml x 1개+잇츠팜 190g x 1개+생강매실 맛술 410ml x 1개+카놀라유 500ml x 1개"
대상 청정원 행복 8호,가공식품 선물세트/혼합세트
대상 청정원 행복 9호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+요리올리고당 700g x 1개+진간장골드 200ml x 1개+천일염가는소금 190g x 1개+우리팜델리 190g x 1개+사과식초 500ml x 1개"
대상 청정원 행복 고급 2호,가공식품 선물세트/혼합세트
대상 청정원 행복 고급호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+요리올리고당 700g+정통사과식초 470ml+우리팜 델리 190g x 2개+잇츠팜 190g x 3개+진간장 골드 200ml+천일염 가는소금 190g+멸치국물내기티백 40g+해물국물내기티백 36g"
대상 청정원 행복 실속호,가공식품 선물세트/혼합세트
대상 청정원 행복11호,양념/장/양념장 세트/카놀라유 500ml+프리미엄 굴소스 260g+생강매실맛술 410ml+더 진한 진간장 골드 500ml+요리올리고당 700g+사과식초 500ml+천일염 가는소금 190g
대상 청정원 행복고급 2호,"가공식품 선물세트/혼합세트/
[구성] 카놀라유 500ml x 2개+정통현미식초 470ml+햇살담은 국간장 500ml+햇살담은 진간장 골드 500ml+요리올리고당 700g+3년묵은 천일염 75g+직화파기름 굴소스 240g+요리통후추 35g+잇츠팜 115g x 4개"
대상 청정원 행복실속호,양념/장/양념장 세트/카놀라유 500ml+양조진간장 500ml+정통현미식초 560ml+올리고당 700g
대현상회 저온압착 참기름 + 생들기름 세트[],오일/식용유/오일 세트
대현상회 참기름들기름세트,오일/식용유/오일 세트
대현상회 참기름 4p 선물세트,오일/식용유/오일 세트
더동쪽바다가는길 홍영의 대게 백간장 선물세트,양념/장/양념장 세트
더동쪽바다가는길 홍영의 버섯맛간장 선물세트,양념/장/양념장 세트
더동쪽바다가는길 홍영의 붉은 대게 어간장 선물세트,양념/장/양념장 세트
더동쪽바다가는길 홍영의 어간장 2호,"양념/장/양념장 세트/
[구성] 대게어간장 500ml+대게백간장 500ml+버섯맛간장 500ml"
더동쪽바다가는길 홍영의 어간장 선물세트 1호,"양념/장/양념장 세트/
[구성] 붉은대게어간장 500ml+붉은대게백간장 500ml"
데체코 1호,"가공식품 선물세트/오일 세트/
[구성] 엑스트라버진/엑스트라 버진 올리브 오일 1L x 2개+발사믹 모데나 250ml"
데체코 2호,"가공식품 선물세트/오일 세트/
[구성] 엑스트라버진/엑스트라 버진 올리브 오일 1L x 2개"
데체코 5호[],오일/식용유/가공식품 선물세트/오일 세트
델파파 유기농 올리브유 2호,오일/식용유/오일 세트/이탈리아
델파파 포도씨유 1호,오일/식용유/오일 세트
델파파 퓨어 올리브유 1호,오일/식용유/오일 세트/이탈리아
델파파 퓨어 올리브유 2호,오일/식용유/오일 세트/이탈리아
델파파 혼합 1호 A 선물세트,오일/식용유/오일 세트/이탈리아
델파파 혼합 2호 A 선물세트,오일/식용유/오일 세트
동강 식용기름세트 1호,"가공식품 선물세트/오일 세트/
[구성] 국내산/참기름 320ml+볶음참깨 170g"
동원F&B 2024 프리미엄 O-2호,가공식품 선물세트/혼합세트
동원F&B 건강한 2호,"가공식품 선물세트/혼합세트/
[구성] 동원참치 100g x 7개+리챔 120g x 8개+카놀라유 500ml x 2개"
동원F&B 건강한 8호,"가공식품 선물세트/혼합세트/
[구성] 라이트스탠다드참치 100g x 7개+리챔 오리지널 120g x 8개+건강 요리유 500ml x 2개"
동원F&B 스페셜 102호,가공식품 선물세트/혼합세트
동원F&B 스페셜 11호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 참치 150g x 6개+런천미트 200g x 3개+건강요리유 500ml x 2개"
동원F&B 스페셜 14호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 참치 90g x 6개+카놀라유 480ml"
동원F&B 스페셜 15호,"냉장/냉동 식품/혼합세트/
[구성] 라이트 스탠다드 참치 135g x 6개+카놀라유 480ml x 2개"
동원F&B 스페셜 1호,가공식품 선물세트/혼합세트
동원F&B 스페셜 25호,"가공식품 선물세트/혼합세트/
[구성] 리챔 오리지널 120g x 13개+라이트 스탠다드 참치 90g x 6개+카놀라유 480ml x 2개"
동원F&B 스페셜 27호,"가공식품 선물세트/혼합세트/
[구성] 라이트스탠다드 참치 150g x 6개+리챔 오리지널 200g x 6개+동원건강 요리유 500ml+동원올리고당 700g+구운소금 210g"
동원F&B 스페셜 30호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 100g x 9개+건강요리유 500ml+요리올리고당 700g+구운소금 210g x 2개+재래식 압착 참기름 330ml"
동원F&B 스페셜 39호,가공식품 선물세트/혼합세트
동원F&B 스페셜 3호,"가공식품 선물세트/혼합세트/
[구성] 동원참치 135g x 2개+리챔 120g x 4개+건강요리유 500ml x 2개"
동원F&B 스페셜 43호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 참치 150g x 6개+리챔 340g+리챔 200g x 2개+리챔 120g x 4개+건강요리유 500ml x 2개"
동원F&B 스페셜 47호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 90g x 9개+카놀라유 480ml x 2개"
동원F&B 스페셜 52호,"가공식품 선물세트/혼합세트/
[구성] 살코기참치 100g x 6개+건강요리유 500ml+참치액 500ml+리챔 120g x 2개+요리올리고당 700ml+구운소금 210g+참기름 160g"
동원F&B 스페셜 55호,"가공식품 선물세트/혼합세트/
[구성] 참치 라이트 스탠다드 100g x 2개+카놀라유 500ml+참기름 160ml+구운소금 210g+요리올리고당 700g"
동원F&B 스페셜 5호,가공식품 선물세트/혼합세트
동원F&B 스페셜 6호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 참치 100g x 6개+리챔 오리지널 120g x 3개+건강요리유 500ml x 2개"
동원F&B 스페셜 7호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 참치 90g x 3개+카놀라유 480ml x 2개"
동원F&B 스페셜 85호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 참치 85g x 4개+카놀라유 480ml x 2개+리챔 오리지널 120g x 2개"
동원F&B 스페셜 8호,"가공식품 선물세트/혼합세트/
[구성] 살코기참치 90g x 6개+리챔오리지널 120g x 8개+건강요리유 480ml x 2개"
동원F&B 스페셜 C1호,"가공식품 선물세트/혼합세트/
[구성] 라이트스탠다드 참치 90g x 4개+리챔 오리지널 120g x 4개+재래식 압착 참기름 330ml"
동원F&B 스페셜 C3호,"가공식품 선물세트/혼합세트/
[구성] 라이트스탠다드 90g x 2개+고추참치 90g x 6개+리챔 오리지널 120g x 6개+건강요리유 480ml x 2개"
동원F&B 스페셜 NC호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 참치 100g x 6개+리챔 120g x 4개+건강요리유 500ml x 2개"
동원F&B 스페셜 O-5호,가공식품 선물세트/혼합세트
동원F&B 스페셜 O-6호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 참치 85g x 6개+카놀라유 500ml x 2개"
동원F&B 스페셜 O-86호,"가공식품 선물세트/혼합세트/
[구성] 라이트스탠다드참치 90g x 6개+건강요리유 480ml x 1개"
동원F&B 스페셜 O-87호,"가공식품 선물세트/혼합세트/
[구성] 라이트스탠다드참치 85g x 4개+고추참치 85g x 2개+리챔 오리지널 120g x 3개+카놀라유 480ml x 2개"
동원F&B 스페셜 O-97호,"가공식품 선물세트/혼합세트/
[구성] 라이트스탠다드참치 85g x 9개+카놀라유 480ml x 2개"
동원F&B 스페셜 S호,가공식품 선물세트/혼합세트
동원F&B 스폐셜 85호,"가공식품 선물세트/혼합세트/
[구성] 라이트스탠다드참치 85g x 4개+카놀라유 480ml x 2개+리챔 오리지널 120g x 2개"
동원F&B 카놀라유 2호,"가공식품 선물세트/오일 세트/
[구성] 카놀라유 500ml x 2개"
동원F&B 카놀라유 4호,"가공식품 선물세트/오일 세트/
[구성] 카놀라유 500ml x 3개"
동원F&B 특 14호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 참치 150g x 6개+카놀라유100 500ml"
동원F&B 특 15호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 참치 150g x 6개+카놀라유100 500ml x 2개"
동원F&B 특 22호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 참치 150g x 6개+리챔 200g x 2개+리챔 340g+카놀라유100 500ml x 2개"
동원F&B 특13호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 참치 100g x 3개 + 카놀라유 500ml x 2개"
동원F&B 특15호,가공식품 선물세트/혼합세트
동원F&B 특19호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 참치 150g x 6개+런천미트 200g x 3개+카놀라유 500ml x 2개"
동원F&B 특22호,가공식품 선물세트/혼합세트
동원F&B 포도씨유 혼합 23호,오일/식용유/가공식품 선물세트/오일 세트
동원F&B 포도씨유 혼합 24호,"가공식품 선물세트/오일 세트/
[구성] 포도씨유 480ml x 2개+카놀라유 480ml x 2개"
동원F&B 프리미엄 30호,가공식품 선물세트/혼합세트
동원F&B 프리미엄 45호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 90g x 5개+재래식압착 참기름 150ml x 1개+카놀라유 480ml x 1개+건강요리유 480ml x 1개+요리 올리고당 700g x 1개+참치액 240g x 1개+사과식초 500ml x 1개+프리미엄 구운소금 210g x 1개"
동원F&B 프리미엄 52호,"가공식품 선물세트/혼합세트/
[구성] 살코기참치 135g x 6개+리챔오리지널 120g x 2개+건강요리유 480ml x 1개+참치액 600g x 1개+참기름 160ml x 1개+올리고당 700g x 1개+구운소금 210g x 1개"
동원F&B 프리미엄 55호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 참치 90g x 2개+카놀라유 480ml+재래식 압착 참기름 160ml+천사의 선물 프리미엄 구운소금 210g+요리올리고당 700g"
동원F&B 프리미엄 60호,"가공식품 선물세트/혼합세트/
[구성] 살코기참치 90g x 9개+참기름 75ml x 2개+카놀라유 480ml 2개+ 참치액 240g"
동원F&B 프리미엄 62호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 참치 90g x 5개+리챔 오리지널 120g x 2개+참치액 240g+재래식 압착 참기름 160ml+카놀라유 480ml x 2개"
동원F&B 프리미엄 8호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 참치 90g x 4개+리챔 더블라이트 120g x 4개+참치액 240g x 2개+국물의 신 멸치한알 60g"
동원F&B 프리미엄 H호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 참치 90g x 6개+리챔 오리지널 120g x 4개+카놀라유 480ml x 2개+요리올리고당 700g x 2개"
동원F&B 혼합 14호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 참치 100g x 6개+카놀라유 500ml"
동원F&B 혼합 24호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 참치 100g x 6개+카놀라유 500ml x 3개"
동원F&B 혼합 43호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 참치 100g x 9개+카놀라유 500ml x 2개"
동원F&B 혼합 5-N호,"가공식품 선물세트/혼합세트/
[구성] 라이트 스탠다드 참치 100g x 6개+동원 카놀라유 500ml x 2개+리챔 오리지널 120g x 3개"
동원F&B 혼합 7호,가공식품 선물세트/혼합세트
